account_id,record_rank,source_file,hotel_name,hotel_name_normalized,country_code,city,state,street,website,website_domain,phone,category_name,hotel_type_class,geography_fit,independent_chain_class,ownership_type,review_score,reviews_count,icp_fit_score,icp_fit_class,non_icp_but_keep,fit_confidence,confidence_reason,review_bucket,owner_gm_decision_cycle_signal,contact_discovery_likelihood,ota_visibility_signal,website_quality,chain_signal_confidence,contact_gap_reason,contact_gap_count,why_not_top_tier,rank_bucket,rank_bucket_reason,ranking_reason,ranking_score,priority_score,priority_band,dedupe_status,duplicate_group_id,contact_duplicate_flag,review_flag,review_reason,manual_merge_candidate,source_url,rooms_range,room_count_value,room_count_status,business_interest_summary,main_bottleneck_hypothesis,pain_point_hypothesis,recommended_hook,call_hypothesis,commercial_verdict,hotel_opening_hours_status,checkin_checkout_status,checkin_checkout_completeness,hotel_opening_hours_source_type,ownership_status,ranked_commercial_verdict,ranked_business_interest_summary,ranked_main_bottleneck_hypothesis,ranked_pain_point_hypothesis,ranked_recommended_hook,ranked_call_hypothesis,ranked_room_count_status,ranked_hotel_opening_hours_status,ranked_checkin_checkout_status,ranked_ownership_status,commercial_bonus,factual_completeness_score,ranking_score_final,priority_level_final,rank_bucket_final,ranking_refresh_reason
acc_d7e3595aefb6,4,Sydney 100.csv,Billabong Retreat,billabong retreat,AU,Maraylya,New South Wales,41 Mcclymonts Rd,http://www.billabongretreat.com.au/,billabongretreat.com.au,+61 2 4573 6080,Resort hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.7,286,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.01,8.1,Medium-High,unique,billabong retreat|maraylya|41 mcclymonts rd,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Billabong%20Retreat&query_place_id=ChIJu5AHR15gDWsRWOs3jV7Cb6w,,,Verejne nepotvrdené,"Billabong Retreat je nezávislý rezortný hotel v Maraylya, Austrália, s vysokým hodnotením 4,7 z 286 recenzií. Hotel je preferovaným typom a disponuje spa službami. Verejne nie je potvrdený počet izieb ani presné otváracie hodiny, check-in začína od 08:30. Hotel má stredne vysokú prioritu pre obchodný záujem.","Hlavnou prekážkou môže byť nedostatok detailných verejných informácií o kapacite hotela (počet izieb) a otváracích hodinách, čo sťažuje presné zacielenie a ponuku služieb.","Potenciálny pain point je neistota ohľadom dostupnosti a rozsahu služieb a kapacity hotela, čo môže ovplyvniť rozhodovanie o spolupráci alebo ponuke produktov.",Váš vysoko hodnotený rezort s unikátnymi spa službami by mohol profitovať z našich riešení na zvýšenie spokojnosti hostí a optimalizáciu prevádzky.,,zaujímavý prospect,Verejne nepotvrdené,Overené vo verejnom zdroji,single_side,,public_confirmed,zaujímavý prospect,"Billabong Retreat je nezávislý rezortný hotel v Maraylya, Austrália, s vysokým hodnotením 4,7 z 286 recenzií. Hotel je preferovaným typom a disponuje spa službami. Verejne nie je potvrdený počet izieb ani presné otváracie hodiny, check-in začína od 08:30. Hotel má stredne vysokú prioritu pre obchodný záujem.","Hlavnou prekážkou môže byť nedostatok detailných verejných informácií o kapacite hotela (počet izieb) a otváracích hodinách, čo sťažuje presné zacielenie a ponuku služieb.","Potenciálny pain point je neistota ohľadom dostupnosti a rozsahu služieb a kapacity hotela, čo môže ovplyvniť rozhodovanie o spolupráci alebo ponuke produktov.",Váš vysoko hodnotený rezort s unikátnymi spa službami by mohol profitovať z našich riešení na zvýšenie spokojnosti hostí a optimalizáciu prevádzky.,"Overiť presný počet izieb, dostupnosť ďalších služieb (wellness, reštaurácia, parkovanie) a otváracie hodiny, aby sme mohli lepšie prispôsobiť ponuku.",Verejne nepotvrdené,Verejne nepotvrdené,Overené vo verejnom zdroji,public_confirmed,6.0,1,87.01,High,A,commercial_verdict_interesting | ownership_public_confirmed | factual_completeness_partial | review_signal_strong
acc_9f2cb7250cf5,2,Sydney 100.csv,Miramare Gardens,miramare gardens,AU,Terrey Hills,New South Wales,48 Myoora Rd,https://www.miramaregardens.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,miramaregardens.com.au,+61 2 9450 2000,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.4,790,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Basic,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.38,8.14,Medium-High,unique,miramare gardens|terrey hills|48 myoora rd,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Miramare%20Gardens&query_place_id=ChIJEW_AMH1WDWsRzza2mFxAUdo,,,Verejne nepotvrdené,"Miramare Gardens je nezávislý hotel v Terrey Hills, Austrália, s dobrou reputáciou (4,4/5 z 790 recenzií). Je zaradený ako preferovaný hotel a ponúka priestory pre eventy a kongresy. Prevádzkové hodiny sú denne od 9:00 do 17:00. Presný počet izieb a ďalšie služby ako wellness, reštaurácia alebo parkovanie nie sú verejne potvrdené.","Hlavnou prekážkou môže byť nedostatok verejne dostupných detailov o kapacite izieb a doplnkových službách, čo sťažuje komplexné posúdenie hotela pre potenciálnych partnerov alebo zákazníkov.","Najpravdepodobnejším problémom je nedostatok transparentných informácií o službách a vybavení hotela, ktoré by mohli ovplyvniť rozhodovanie klientov alebo obchodných partnerov.",Váš hotel Miramare Gardens s výbornými recenziami a eventovými priestormi je ideálnym kandidátom na rozšírenie služieb a zvýšenie obsadenosti.,,zaujímavý prospect,Overené vo verejnom zdroji,Verejne nepotvrdené,none,homepage,public_confirmed,zaujímavý prospect,"Miramare Gardens je nezávislý hotel v Terrey Hills, Austrália, s dobrou reputáciou (4,4/5 z 790 recenzií). Je zaradený ako preferovaný hotel a ponúka priestory pre eventy a kongresy. Prevádzkové hodiny sú denne od 9:00 do 17:00. Presný počet izieb a ďalšie služby ako wellness, reštaurácia alebo parkovanie nie sú verejne potvrdené.","Hlavnou prekážkou môže byť nedostatok verejne dostupných detailov o kapacite izieb a doplnkových službách, čo sťažuje komplexné posúdenie hotela pre potenciálnych partnerov alebo zákazníkov.","Najpravdepodobnejším problémom je nedostatok transparentných informácií o službách a vybavení hotela, ktoré by mohli ovplyvniť rozhodovanie klientov alebo obchodných partnerov.",Váš hotel Miramare Gardens s výbornými recenziami a eventovými priestormi je ideálnym kandidátom na rozšírenie služieb a zvýšenie obsadenosti.,"Overiť presný počet izieb, dostupnosť wellness a reštauračných služieb, ako aj štandardné check-in a check-out časy.",Verejne nepotvrdené,Overené vo verejnom zdroji,Verejne nepotvrdené,public_confirmed,5.0,1,86.38,High,A,commercial_verdict_interesting | ownership_public_confirmed | factual_completeness_partial
acc_462634ba1b0d,3,Sydney 100.csv,The Hornsby Inn,the hornsby inn,AU,Hornsby,NSW,"Burdett St &, 37 Hunter St",https://hornsbyinn.com.au/,hornsbyinn.com.au,+61 2 5302 9307,Pub,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.0,682,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.3,8.13,Medium-High,unique,the hornsby inn|hornsby|burdett st 37 hunter st,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=The%20Hornsby%20Inn&query_place_id=ChIJ-XMpqYanEmsRzT9mWWJ5AOI,1-15,10.0,public_confirmed,"The Hornsby Inn je nezávislý prevádzkovateľ v kategórii pub v meste Hornsby, Austrália. Má 10 izieb, prevádzkuje reštauráciu a ponúka priestory pre podujatia a kongresy. Hodnotenie zákazníkov je 4,0 z 5 na základe 682 recenzií, čo naznačuje dobrú reputáciu. Prevádzkové hodiny sú od 10:00 do 3:00 v pracovné dni a sobotu, v nedeľu do 22:00.","Hlavnou prekážkou môže byť nedostatok detailných verejných informácií o doplnkových službách ako wellness, spa a parkovanie, čo môže limitovať možnosti personalizácie ponuky.",Neistota ohľadom presných check-in a check-out časov môže spôsobovať nejasnosti pre potenciálnych hostí a obmedzuje úplnú ponuku služieb.,"Vzhľadom na vašu silnú reputáciu a eventové priestory by sme radi prediskutovali možnosti, ako zvýšiť obsadenosť a rozšíriť služby pre vašich hostí.",,zaujímavý prospect,Overené vo verejnom zdroji,Verejne nepotvrdené,none,homepage,raw_confirmed,zaujímavý prospect,"The Hornsby Inn je nezávislý prevádzkovateľ v kategórii pub v meste Hornsby, Austrália. Má 10 izieb, prevádzkuje reštauráciu a ponúka priestory pre podujatia a kongresy. Hodnotenie zákazníkov je 4,0 z 5 na základe 682 recenzií, čo naznačuje dobrú reputáciu. Prevádzkové hodiny sú od 10:00 do 3:00 v pracovné dni a sobotu, v nedeľu do 22:00.","Hlavnou prekážkou môže byť nedostatok detailných verejných informácií o doplnkových službách ako wellness, spa a parkovanie, čo môže limitovať možnosti personalizácie ponuky.",Neistota ohľadom presných check-in a check-out časov môže spôsobovať nejasnosti pre potenciálnych hostí a obmedzuje úplnú ponuku služieb.,"Vzhľadom na vašu silnú reputáciu a eventové priestory by sme radi prediskutovali možnosti, ako zvýšiť obsadenosť a rozšíriť služby pre vašich hostí.",Overiť záujem o rozšírenie služieb v oblasti wellness alebo parkovania a získať presné informácie o check-in a check-out časoch.,public_confirmed,Overené vo verejnom zdroji,Verejne nepotvrdené,raw_confirmed,5.0,2,86.3,High,A,commercial_verdict_interesting | ownership_raw_confirmed | factual_completeness_strong
acc_5970be661818,1,Sydney 100.csv,Jonah’s Restaurant & Boutique Hotel,jonah s restaurant boutique hotel,AU,Palm Beach,New South Wales,69 Bynya Rd,http://www.jonahs.com.au/,jonahs.com.au,+61 2 9974 5599,Restaurant,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.6,946,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.42,8.14,Medium-High,unique,jonah s restaurant boutique hotel|palm beach|69 bynya rd,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Jonah%E2%80%99s%20Restaurant%20%26%20Boutique%20Hotel&query_place_id=ChIJK_oJd_GzEmsRnAc-uz6u26E,,,Verejne nepotvrdené,"Jonah’s Restaurant & Boutique Hotel je nezávislý prevádzkovateľ v Palm Beach, Austrália, s kategóriou reštaurácie a preferovaným typom hotela. Má vysoké hodnotenie 4,6 z 946 recenzií a stredne vysokú prioritu pre obchodné záujmy.","Hlavnou prekážkou môže byť nedostatok verejne dostupných detailov o prevádzkových hodinách, počte izieb a ďalších službách, čo sťažuje presné zacielenie ponúk.",Neistota ohľadom presného rozsahu služieb a kapacít hotela môže viesť k obavám z neadekvátneho prispôsobenia obchodnej ponuky.,Vzhľadom na vašu vynikajúcu reputáciu a širokú ponuku eventových služieb by sme vám radi predstavili riešenia na zvýšenie efektivity a spokojnosti hostí.,,zaujímavý prospect,Verejne nepotvrdené,Verejne nepotvrdené,none,,raw_confirmed,zaujímavý prospect,"Jonah’s Restaurant & Boutique Hotel je nezávislý prevádzkovateľ v Palm Beach, Austrália, s kategóriou reštaurácie a preferovaným typom hotela. Má vysoké hodnotenie 4,6 z 946 recenzií a stredne vysokú prioritu pre obchodné záujmy.","Hlavnou prekážkou môže byť nedostatok verejne dostupných detailov o prevádzkových hodinách, počte izieb a ďalších službách, čo sťažuje presné zacielenie ponúk.",Neistota ohľadom presného rozsahu služieb a kapacít hotela môže viesť k obavám z neadekvátneho prispôsobenia obchodnej ponuky.,Vzhľadom na vašu vynikajúcu reputáciu a širokú ponuku eventových služieb by sme vám radi predstavili riešenia na zvýšenie efektivity a spokojnosti hostí.,"Overiť detaily o prevádzkových hodinách, počte izieb a dostupnosti ďalších služieb ako wellness, spa a parkovanie, aby sme mohli lepšie prispôsobiť ponuku.",Verejne nepotvrdené,Verejne nepotvrdené,Verejne nepotvrdené,raw_confirmed,4.5,0,85.92,High,A,commercial_verdict_interesting | ownership_raw_confirmed | review_signal_strong
acc_50ce289c9223,5,Sydney 100.csv,Spicers Sangoma Retreat,spicers sangoma retreat,AU,Bowen Mountain,New South Wales,70 Grandview Ln,https://spicersretreats.com/retreats/spicers-sangoma-retreat/?utm_source=google&utm_medium=organic&utm_campaign=gmb,spicersretreats.com,+61 1300 352 190,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.8,248,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,80.96,8.1,Medium-High,unique,spicers sangoma retreat|bowen mountain|70 grandview ln,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Spicers%20Sangoma%20Retreat&query_place_id=ChIJna5tG9SBEmsRlVuGo7Un5yc,,,Verejne nepotvrdené,"Spicers Sangoma Retreat je nezávislý hotelový prevádzkovateľ v Bowen Mountain, Austrália, s vysokým hodnotením 4,8 z 248 recenzií. Ide o preferovaný hotel s ponukou reštaurácie, spa a priestorov pre eventy a kongresy. Verejné informácie o počte izieb, otváracích hodinách a presných službách sú neúplné alebo nepotvrdené.","Hlavnou prekážkou môže byť nedostupnosť oficiálnej webovej stránky a chýbajúce verejné informácie o prevádzkových detailoch, čo sťažuje komunikáciu a plánovanie spolupráce.","Neistota ohľadom prevádzkových hodín, počtu izieb a dostupnosti služieb môže byť pre hotel problémom pri získavaní nových zákazníkov alebo partnerov.","Vzhľadom na vašu výnimočnú reputáciu a ponuku wellness a eventových služieb by sme radi prediskutovali možnosti, ako vám pomôcť ešte viac zvýšiť spokojnosť hostí a efektivitu prevádzky.",,zaujímavý prospect,Verejne nepotvrdené,Verejne nepotvrdené,none,,raw_confirmed,zaujímavý prospect,"Spicers Sangoma Retreat je nezávislý hotelový prevádzkovateľ v Bowen Mountain, Austrália, s vysokým hodnotením 4,8 z 248 recenzií. Ide o preferovaný hotel s ponukou reštaurácie, spa a priestorov pre eventy a kongresy. Verejné informácie o počte izieb, otváracích hodinách a presných službách sú neúplné alebo nepotvrdené.","Hlavnou prekážkou môže byť nedostupnosť oficiálnej webovej stránky a chýbajúce verejné informácie o prevádzkových detailoch, čo sťažuje komunikáciu a plánovanie spolupráce.","Neistota ohľadom prevádzkových hodín, počtu izieb a dostupnosti služieb môže byť pre hotel problémom pri získavaní nových zákazníkov alebo partnerov.","Vzhľadom na vašu výnimočnú reputáciu a ponuku wellness a eventových služieb by sme radi prediskutovali možnosti, ako vám pomôcť ešte viac zvýšiť spokojnosť hostí a efektivitu prevádzky.","Overiť aktuálny stav oficiálnej webovej stránky, získať informácie o počte izieb, otváracích hodinách a detailoch služieb, ako aj záujem o zlepšenie online viditeľnosti a prevádzkových procesov.",Verejne nepotvrdené,Verejne nepotvrdené,Verejne nepotvrdené,raw_confirmed,4.5,0,85.46,High,A,commercial_verdict_interesting | ownership_raw_confirmed | review_signal_strong
acc_85a1025fc0d6,7,Sydney 100.csv,Quest Bella Vista,quest bella vista,AU,Bella Vista,New South Wales,24 Norbrik Dr,http://www.questapartments.com.au/properties/nsw/bella-vista/quest-bella-vista/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=bellavista,questapartments.com.au,+61 2 8818 9300,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,1537,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.8,7.98,Medium-High,unique,quest bella vista|bella vista|24 norbrik dr,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Quest%20Bella%20Vista&query_place_id=ChIJMcm3uwCiEmsRZe4Ix08__RE,,,Verejne nepotvrdené,Quest Bella Vista v Bella Vista pôsobí ako stabilný account s verejne čitateľným profilom a slušným review základom.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu.",,zaujímavý prospect,Verejne nepotvrdené,Verejne nepotvrdené,none,,public_confirmed,zaujímavý prospect,Quest Bella Vista v Bella Vista pôsobí ako stabilný account s verejne čitateľným profilom a slušným review základom.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu.","Na krátkom hovore sa oplatí overiť, ktoré typy dopytu dnes dominujú a kde vzniká najväčšie váhanie pred kontaktom alebo rezerváciou.",Verejne nepotvrdené,Verejne nepotvrdené,Verejne nepotvrdené,public_confirmed,5.5,0,85.3,High,A,commercial_verdict_interesting | ownership_public_confirmed | review_signal_strong
acc_401880adbecd,9,Sydney 100.csv,Quest Penrith,quest penrith,AU,Penrith,New South Wales,83 Lord Sheffield Cct,https://www.questapartments.com.au/properties/nsw/penrith/quest-penrith,questapartments.com.au,+61 2 9136 1100,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.6,375,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.57,7.96,Medium-High,unique,quest penrith|penrith|83 lord sheffield cct,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Quest%20Penrith&query_place_id=ChIJb56-7pmFEmsRzntviS3eiW0,,,Verejne nepotvrdené,Quest Penrith v Penrith pôsobí ako stabilný account s verejne čitateľným profilom a slušným review základom.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu.",,zaujímavý prospect,Verejne nepotvrdené,Verejne nepotvrdené,none,,public_confirmed,zaujímavý prospect,Quest Penrith v Penrith pôsobí ako stabilný account s verejne čitateľným profilom a slušným review základom.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky pohľad na to, kde sa dá ešte zjednodušiť cesta od prvého záujmu k priamemu dopytu.","Na krátkom hovore sa oplatí overiť, ktoré typy dopytu dnes dominujú a kde vzniká najväčšie váhanie pred kontaktom alebo rezerváciou.",Verejne nepotvrdené,Verejne nepotvrdené,Verejne nepotvrdené,public_confirmed,5.5,0,85.07,High,A,commercial_verdict_interesting | ownership_public_confirmed | review_signal_strong
acc_6bb4cbb1a3e4,6,Sydney 100.csv,Seranin | Gordon,seranin gordon,AU,Gordon,New South Wales,807 Pacific Hwy,http://www.seranin.com.au/,seranin.com.au,+61 1300 821 332,Motel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,3.5,65,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,80.33,8.03,Medium-High,unique,seranin gordon|gordon|807 pacific hwy,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Seranin%20%7C%20Gordon&query_place_id=ChIJ-T05l4eoEmsRLpVkxu2vKdg,,,Verejne nepotvrdené,Seranin | Gordon v Gordon je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.",,zaujímavý prospect,Verejne nepotvrdené,Verejne nepotvrdené,none,,public_confirmed,zaujímavý prospect,Seranin | Gordon v Gordon je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.","Na krátkom hovore sa oplatí overiť, ktoré typy dopytu dnes dominujú a kde vzniká najväčšie váhanie pred kontaktom alebo rezerváciou.",Verejne nepotvrdené,Verejne nepotvrdené,Verejne nepotvrdené,public_confirmed,3.5,0,83.83,Medium-High,B,commercial_verdict_interesting | ownership_public_confirmed | review_signal_weaker
acc_30048fcea764,8,Sydney 100.csv,Royal Hotel,royal hotel,AU,Springwood,New South Wales,220 Macquarie Rd,http://www.royalhotelspringwood.com.au/,royalhotelspringwood.com.au,+61 2 4751 1021,Pub,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.1,539,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.72,7.97,Medium-High,unique,royal hotel|springwood|220 macquarie rd,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Royal%20Hotel&query_place_id=ChIJuz9szj6HEmsRYRAG5sSsr6c,,,Verejne nepotvrdené,Royal Hotel v Springwood je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.",,opatrný prospect,Overené vo verejnom zdroji,Verejne nepotvrdené,none,homepage,raw_confirmed,opatrný prospect,Royal Hotel v Springwood je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.","Na krátkom hovore sa oplatí overiť, ktoré typy dopytu dnes dominujú a kde vzniká najväčšie váhanie pred kontaktom alebo rezerváciou.",Verejne nepotvrdené,Overené vo verejnom zdroji,Verejne nepotvrdené,raw_confirmed,-1.0,1,78.72,Medium-High,B,commercial_verdict_cautious | ownership_raw_confirmed | factual_completeness_partial
acc_40da1daa32cc,10,Sydney 100.csv,Doonside Hotel,doonside hotel,AU,Doonside,New South Wales,23 Graham St,https://www.doonsidehotel.com/,doonsidehotel.com,+61 2 9622 6585,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,3.8,363,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.39,7.94,Medium-High,unique,doonside hotel|doonside|23 graham st,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Doonside%20Hotel&query_place_id=ChIJ0dMcYoKZEmsRxIqUVwGiYWk,,,Verejne nepotvrdené,Doonside Hotel v Doonside je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.",,opatrný prospect,Verejne nepotvrdené,Verejne nepotvrdené,none,,raw_confirmed,opatrný prospect,Doonside Hotel v Doonside je zaujímavý skôr cez praktickú informačnú vrstvu a jasnosť prvého kontaktu.,"Praktické informácie nie sú všade rovnako jasné, čo môže brzdiť prvý kontakt alebo rozhodnutie.",Hosť nemusí mať rýchlo jasno v praktických pobytových pravidlách pred rezerváciou.,"Krátky postreh k tomu, ktoré praktické informácie hosť nemusí nájsť hneď na prvý pohľad.","Na krátkom hovore sa oplatí overiť, ktoré typy dopytu dnes dominujú a kde vzniká najväčšie váhanie pred kontaktom alebo rezerváciou.",Verejne nepotvrdené,Verejne nepotvrdené,Verejne nepotvrdené,raw_confirmed,-2.5,0,76.89,Medium-High,B,commercial_verdict_cautious | ownership_raw_confirmed | review_signal_weaker
